objid,ra,dec,z
1237657591387849298,150.357090822858,50.4797539361932,0.406769
1237657591387849292,150.370394961452,50.4582231332458,0.663663
1237657591387849312,150.37181938366,50.4731492384107,-9999
1237657591387849321,150.373539732015,50.4770585535802,0.394957
1237657591387849325,150.375159558167,50.479258191263,0.405279
1237657591387849300,150.375724943923,50.4595986478019,0.393936
1237657591387849304,150.378098938085,50.461769999471,0.526391
1237657591387849302,150.382872779022,50.4537862724225,0.540074
1237657591387849608,150.361622133395,50.4756873425004,0.513199
1237657591387849285,150.360824290114,50.4642247217839,0.54881
1237657591387849276,150.358953111934,50.4620380615359,0.456847
1237657591387849284,150.357847957664,50.4651891241595,0.37658
1237657591387849605,150.376630758315,50.4556740157004,0.622138
1237657591387849602,150.373207702339,50.4557203063209,0.237567
1237657591387849813,150.371951209027,50.4795022378441,-9999
1237657591387848773,150.367438131578,50.4519983697835,0.487421
1237657591387848771,150.362470277882,50.45337204311,0.112887
1237657591387848925,150.361424970923,50.4593896563351,0.350576
