objid,ra,dec,z
1237671166167941977,166.653189521259,-18.3611543343741,0.312057
1237671166167941147,166.65260223162,-18.3526961258511,0.571745
1237671166167941146,166.651848694836,-18.3425739132345,0.56811
1237671166167941972,166.646112496209,-18.3625397351842,0.320289
1237671166167941286,166.641000351463,-18.3414711791809,0.158788
1237671166167941466,166.630957081477,-18.3684749949313,0.376403
1237671166167941571,166.625251788421,-18.3624048438084,0.377478
1237671166167941572,166.624949495024,-18.3645261386693,0.353496
1237671166167941269,166.624744769212,-18.3505411959392,0.553713
