objid,ra,dec,z
1237651753461547904,152.858561802887,1.70602452951987,0.145378
1237651753461612928,152.866943099747,1.73300373246233,0.309897
1237651753461547903,152.856821780848,1.7281559422208,0.540568
1237651753461547675,152.856729440275,1.73627136706643,0.036608
1237651753461548115,152.862332418529,1.72662269292672,0.753273
1237651753461547910,152.863195649365,1.73615871639205,0.34679
1237651753461547697,152.863704685323,1.71918630843461,0.339712
1237651753461613364,152.869602598241,1.73354187365248,0.627992
1237651753461613359,152.867803812316,1.73721567974227,-9999
1237651753461612934,152.868071601227,1.72678087460189,0.513684
1237651753461613580,152.8839361395,1.73616921814103,0.561872
1237651753461613370,152.870888192432,1.70916990599579,0.758478
1237651753461612760,152.872917769761,1.72317101080651,0.291879
1237651753461612761,152.87192212039,1.72099220623106,0.493207
1237651753461612763,152.875801034359,1.7213881281708,0.578657
1237651753461613578,152.878056125222,1.72135787712868,-9999
1237651753461612965,152.877648426784,1.73843696800672,0.482972
1237651753461613583,152.887238538332,1.72036097840338,0.674319
1237651753461612996,152.888141575545,1.73897202151644,0.889355
1237651753461612997,152.889654991756,1.7395509683772,0.60291
1237651753461612762,152.874875169818,1.72061871257466,0.166566
1237651753461612952,152.875262026401,1.72918574488611,0.290274
1237651753461612949,152.874929238672,1.73557284689001,0.314954
1237651753461613377,152.879502363908,1.72351294067454,0.221562
1237651753461613579,152.879994893036,1.72008927256064,0.504888
1237651753461612976,152.880789725286,1.709325061401,0.42727
1237651753461613581,152.8848640396,1.70632820264544,0.980337
1237651753461612990,152.88499991519,1.74073967192424,0.381755
1237651753461613380,152.882401629762,1.71067437126008,0.507773
