objid,ra,dec,z
1237673474178482499,72.087051418912,12.4677500248939,0.438367
1237673474178482500,72.0889788507755,12.4673137862534,0.532795
1237673474178483062,72.0903458633879,12.460467845326,0.326522
1237673474178483063,72.0906542762069,12.4633122122482,0.426763
1237673474178483457,72.0917220444386,12.4678983645554,0.511578
1237673474178483686,72.091876540964,12.4654826353501,0.761191
1237673474178483462,72.0946403538721,12.4685175694035,0.417912
1237673474178483463,72.0960014643002,12.4707987857801,0.569003
