objid,ra,dec,z
1237657242970423696,140.281640871527,45.4772081903487,0.530629
1237657242970423735,140.268916833884,45.5190696192166,0.194543
1237657242970423722,140.285617844572,45.4957001221321,0.646692
1237657242970423693,140.285109940186,45.4713198812048,0.442799
1237657242970424099,140.293632999145,45.4750745795319,0.431304
1237657242970423761,140.293392956654,45.5103352134509,0.257547
1237657242970423759,140.293779209569,45.5054686082563,0.384053
1237657242970424116,140.292635704796,45.513668961659,0.452481
1237657242970423556,140.271860583897,45.4877200143459,0.165174
1237657242970424109,140.272738780901,45.5093874876748,0.389564
1237657242970424090,140.272979761987,45.4828358853632,-9999
1237657242970423720,140.272755794255,45.5069888954005,0.377871
1237657242970423610,140.273828797909,45.4508654555596,-9999
1237657242970423557,140.27354066391,45.4880578492875,0.379038
1237657242970424081,140.286356038416,45.4561140143759,0.474119
1237657242970423719,140.286937279043,45.4921564364739,0.366386
1237657242970423682,140.287448320336,45.4629312493141,0.71251
1237657242970424314,140.277458907316,45.499005030639,0.95093
1237657242970424326,140.287548484687,45.51157765042,0.817397
1237657242970423739,140.28818176571,45.5026828282831,0.351393
1237657242970424306,140.278872183683,45.4815357475634,0.744358
1237657242970424079,140.28236844879,45.4508006949717,0.397827
1237657242970423742,140.282916694906,45.5090722725207,0.492674
1237657242970423562,140.315852228511,45.4817831779218,0.745254
1237657242970424310,140.31608259358,45.4521005659097,-9999
1237657242970424319,140.317081709732,45.4719655768578,0.763953
1237657242970424331,140.306115789058,45.4985536717732,0.685051
1237657242970423770,140.306413658239,45.5045782110961,0.316321
1237657242970423758,140.306360069594,45.4926231227699,0.517383
1237657242970423366,140.305951947908,45.483672110617,0.560631
1237657242970423365,140.306312256013,45.4822767223138,0.381434
1237657242970423364,140.305323617415,45.4811766316088,0.334382
1237657242970423467,140.303016240198,45.4759712924546,0.223963
1237657242970423368,140.303617191251,45.4809775774426,0.532827
1237657242970423468,140.29587011532,45.4902346316461,0.199313
1237657242970423754,140.30229289975,45.495059019421,0.471261
1237657242970423367,140.302380819481,45.4870111108755,0.350481
1237657242970423793,140.307598083393,45.515758383579,0.530342
1237657242970423747,140.307443090083,45.4884128659858,0.38601
1237657242970423718,140.308054020014,45.4708675571434,0.370245
1237657242970423769,140.333211268042,45.4762390707212,0.396555
1237657242970424325,140.311702609635,45.4845732322993,0.687503
1237657242970423766,140.32087842255,45.4845180958017,0.379321
1237657242970423810,140.320248612404,45.5149970879882,0.568359
1237657242970424122,140.320291106529,45.4972128607483,0.353599
1237657242970424351,140.320351561703,45.5027392792167,0.696463
1237657242970423711,140.319760170507,45.4527331795163,0.199724
1237657242970423740,140.324716510739,45.4670609451879,0.327112
1237657242970423746,140.325045683567,45.4706526774629,0.327547
1237657242970424357,140.32506483178,45.5077059135975,0.736351
1237657242970424350,140.32911865696,45.4932702083667,-9999
1237657242970424359,140.329369788962,45.5164267767828,0.711629
1237657242970423375,140.33452122054,45.4595676103845,0.251677
1237657242970423383,140.335069953739,45.4572102347264,-9999
1237657242970423813,140.335044183655,45.5037306607069,0.305808
1237657242970423374,140.331351745918,45.4659915014529,0.292918
1237657242970423378,140.327359365729,45.4572291899374,0.328385
1237657242970424345,140.32732907226,45.4906730453028,0.176094
1237657242970424135,140.325939402482,45.5011788356666,0.444777
1237657242970424130,140.326857560399,45.4993339089145,0.497708
1237657242970423376,140.33766357656,45.4561418572126,0.681763
1237657242970424127,140.337951314988,45.4844841061354,0.467319
1237657242970423393,140.314206673509,45.49075627045,0.378043
1237657242970423738,140.312471807756,45.4784639430908,0.397427
1237657242970423377,140.336702956045,45.4597685025725,0.216453
1237657242970423379,140.337315278029,45.4556641821027,0.514697
1237657242970423384,140.335844234631,45.4537365897844,0.945644
1237657242970423771,140.336979901818,45.4749082317693,0.382423
1237657242970424146,140.336999415193,45.5177561445439,0.450011
1237657242970424361,140.337265721967,45.5119486893333,0.542069
