objid,ra,dec,z
1237678823567065224,340.120304067879,3.35978805365828,0.710062
1237678823567065227,340.122261811254,3.36203487930117,0.979772
1237678823567065216,340.125942307473,3.35841561418833,0.029747
1237678823567065229,340.127049231604,3.36374830548136,-9999
1237678823567065969,340.128461291889,3.35145479558979,0.686451
1237678823567065218,340.131883249168,3.3614401790956,0.386386
1237678823567066139,340.133941249163,3.34912509266149,-9999
1237678823567065960,340.119437668907,3.3650040633854,0.4672
1237678823567065221,340.118114611213,3.35722541734166,0.576133
