objid,ra,dec,z
1237660634382663934,151.146033773875,41.1662138827174,0.230486
1237660634382664297,151.084115243224,41.1675014349529,0.425254
1237660634382664291,151.084855768711,41.1581685534704,0.469727
1237660634382663921,151.08455978871,41.2180814049293,0.383897
1237660634382663867,151.164385921561,41.1504581159626,0.182123
1237660342864838983,151.084815820815,41.2535648937515,0.28338
1237660634382729448,151.191057804578,41.2189006031518,0.384519
1237660634382664313,151.106900692108,41.1550923109517,0.571552
1237660634382729936,151.193440903836,41.2405206307703,-9999
1237660634382729921,151.192331106806,41.1949987627744,-9999
1237660634382663808,151.112670105763,41.1561606805287,0.12303
1237660634382664516,151.192911248816,41.1623264462742,0.081727
1237660634382664549,151.091051181463,41.1741231930458,0.116084
1237660634382664391,151.169219639087,41.1932708714322,0.426195
1237660634382664299,151.090279903405,41.1585154595538,0.812768
1237660634382663812,151.091616955432,41.210856388359,0.574796
1237660634382664138,151.122025452137,41.2313670415959,0.645382
1237660634382664125,151.121476774736,41.2231712975169,0.355438
1237660634382664521,151.155450627502,41.245815333973,0.680154
1237660634382664364,151.156621948436,41.1597333129785,0.284795
1237660634382663946,151.156393191304,41.2076416779895,0.08654
1237660634382664493,151.144410748091,41.1834251895418,0.645676
1237660634382663750,151.144349674867,41.2164290126658,0.362872
1237660634382663749,151.144097466983,41.214168292581,0.6439
1237660342864838854,151.082899438651,41.278360240587,0.449449
1237660634382664522,151.161276656438,41.2365887029741,0.720798
1237660634382664404,151.161286393577,41.2295815535092,0.52794
1237660634382664333,151.082395990467,41.234912556781,0.616678
1237660342864839126,151.162278842094,41.276103462665,-9999
1237660634382729453,151.189784844792,41.2238388551709,0.00973
1237660634382729452,151.189029412189,41.2243959993772,0.941685
1237660634382664390,151.189769527373,41.152169488349,0.450111
1237660634382664512,151.14780951471,41.2272912079344,0.598572
1237660634382664388,151.148525158585,41.2207196408709,0.766193
1237660634382664376,151.148110794415,41.2016140814045,0.437003
1237660634382664347,151.147926859423,41.1572028570335,0.368491
1237660634382664117,151.147228417357,41.1637722187307,0.945285
1237660342864839093,151.148658182595,41.2765866896234,0.602418
1237660634382729433,151.174505657732,41.2221891841348,0.098909
1237660634382664397,151.176100538303,41.1887991365186,0.396049
1237660634382663813,151.091861998375,41.2086928453769,0.366634
1237660342864839413,151.092646272567,41.2638055664183,-9999
1237660634382729930,151.173933506313,41.2582309138571,0.925488
1237660634382664315,151.094770121859,41.1789238174324,0.503304
1237660634382664303,151.093864218865,41.1649664083763,-9999
1237660634382663932,151.094550150618,41.2440585277721,0.535034
1237660634382663874,151.173864142466,41.1835489715697,0.213787
1237660634382729442,151.172416567106,41.2414877504553,0.464273
1237660634382664482,151.094897503085,41.2353371686754,0.695903
1237660634382664182,151.173629777494,41.2012253467255,0.39116
1237660342864839110,151.153686355042,41.2784740633603,0.485668
1237660634382664505,151.152872568421,41.203750319765,0.789834
1237660634382664146,151.153617302793,41.1821605778031,0.509657
1237660634382664501,151.136157700076,41.2121987271744,0.675372
1237660634382664340,151.135104335238,41.1588876819436,0.731937
1237660342864838868,151.13494996888,41.2639468700538,0.319592
1237660634382664175,151.136380223385,41.2465412272544,0.447671
1237660634382664161,151.136270941118,41.2332201954426,0.728352
1237660634382663940,151.136094088403,41.2012166125675,0.684773
1237660634382664507,151.130125303597,41.2417591796909,0.686483
1237660634382664405,151.20607259206,41.158942204999,0.432931
1237660634382664402,151.205426835806,41.1531838925111,0.514919
1237660634382664375,151.130596118168,41.226954212117,0.510529
1237660634382664136,151.13053505535,41.2089318697245,0.749011
1237660634382663890,151.130102737147,41.2369637465216,-9999
1237660634382664352,151.118145390077,41.2145854852117,0.375605
1237660634382729734,151.186469223717,41.262042737073,0.517362
1237660634382664137,151.120386401801,41.2277562678224,0.195673
1237660342864839435,151.142328336435,41.2787145428738,0.840922
1237660634382663924,151.141853097759,41.1447779879822,0.197687
1237660634382663748,151.140581369834,41.2118779074441,0.641216
1237660634382663747,151.142445225135,41.2121032186526,0.606991
1237660634382663746,151.141942752935,41.2136146098327,0.5394
1237660634382729727,151.171902747857,41.2728422511005,0.51852
1237660634382664524,151.170621642523,41.2216343144043,0.490396
1237660634382664328,151.099817307615,41.2006887541141,0.336301
1237660634382664115,151.099695152255,41.2412353695404,0.624054
1237660634382664100,151.099499063186,41.2130081695002,0.354686
1237660634382664077,151.099806739587,41.1642768356599,0.180277
1237660342864839015,151.100117940438,41.2675998775657,0.441644
1237660634382664362,151.148862559104,41.168836546606,-9999
1237660634382664503,151.150273228565,41.1962528470822,0.416589
1237660634382664338,151.081507399622,41.2449530206705,0.537643
1237660634382664191,151.158780927153,41.2354732821291,-9999
1237660634382664155,151.159953221574,41.1899702061416,0.211709
1237660634382664492,151.152237086262,41.1634728660002,0.512888
1237660634382664393,151.150832594673,41.2269848779261,0.749442
1237660634382664141,151.151894960392,41.1836597512983,0.386818
1237660342864839412,151.085964102881,41.2655587394485,0.663703
1237660634382664460,151.087003073625,41.1449287536425,0.576927
1237660634382664520,151.166275378855,41.2211935365783,0.746664
1237660634382663871,151.156821957929,41.1934816042036,0.180055
1237660634382664294,151.079527097991,41.1707290414875,0.427771
1237660634382664398,151.156999613236,41.2281849001699,0.453659
1237660342864839010,151.088606324938,41.2716088190318,-9999
1237660634382664298,151.088826233275,41.1602679709203,0.691776
1237660634382664159,151.178924679901,41.1630020780394,0.352236
1237660634382664381,151.179625987374,41.1524215212428,0.375051
1237660634382729710,151.178651645967,41.2206375619796,0.63327
1237660634382664316,151.098278989565,41.1768309139613,-9999
1237660634382729943,151.180515812536,41.2756081892343,0.723877
1237660634382664177,151.177233819767,41.1847597694733,0.374098
1237660634382729440,151.176788103898,41.2300244462511,0.597882
1237660634382729723,151.176291042612,41.2611128727247,0.611578
1237660634382664301,151.103065950773,41.1472414036127,0.703454
1237660634382664523,151.18260065019,41.2013137521584,0.514179
1237660634382729450,151.182245116656,41.2348881956173,-9999
1237660634382729935,151.182603998235,41.2568307518654,-9999
1237660634382663930,151.109372702201,41.217766876381,0.236206
1237660634382664098,151.109453743281,41.1940025532345,0.221471
1237660634382663889,151.127496061182,41.2349226031503,0.250082
1237660634382664107,151.127681594652,41.1768581132696,0.269371
1237660634382664108,151.127415853728,41.1825636685637,0.624332
1237660634382664139,151.127413833189,41.2229957319455,0.639976
1237660634382664487,151.127606949792,41.1977476618264,0.688799
1237660634382729738,151.199889493141,41.2405421491886,-9999
1237660634382729739,151.200887258635,41.2396081477127,0.320974
1237660634382729958,151.200856875182,41.268215129399,0.661654
1237660634382663854,151.116800457423,41.1681163490393,0.230853
1237660634382663878,151.185034381055,41.1799363408954,0.157727
1237660634382663880,151.185569117768,41.1799721174176,0.648615
1237660634382664091,151.116268082943,41.1710571225648,0.418146
1237660634382664092,151.115318024934,41.1723608758949,0.545378
1237660634382664355,151.115572047366,41.2196829174758,-9999
1237660634382664511,151.185267379897,41.1602835646576,-9999
1237660634382729726,151.184341554945,41.2509423317603,0.461279
1237660634382729919,151.185602116976,41.2038837223752,0.781393
1237660634382730071,151.184775335692,41.2688402967189,-9999
1237660342864839067,151.132438814012,41.2770525213365,0.661466
1237660634382664131,151.132583798793,41.2089341475516,0.762239
1237660634382664135,151.132123077109,41.2124893495837,0.500296
1237660634382664478,151.132660552652,41.1602431812855,0.551648
1237660634382664491,151.131365425425,41.1982049521528,0.448396
1237660634382729945,151.208484680472,41.2328242970946,0.327725
1237660634382729948,151.208219245904,41.2363277541355,0.49066
1237660634382664144,151.138249396853,41.2035033817112,0.496848
1237660634382664153,151.137922835196,41.2202284278469,0.488179
1237660634382664194,151.204580364718,41.1611037593218,0.606157
1237660634382664369,151.137550135136,41.1950455882592,-9999
1237660634382664514,151.138659069424,41.25195445736,0.932712
1237660634382664571,151.138529096685,41.2159104124272,-9999
1237660634382729929,151.204522892077,41.2064336488085,0.808134
1237660634382729955,151.203818997786,41.2586568880086,0.590005
1237660634382730062,151.204449767483,41.2441914964331,0.584772
1237660342864839517,151.113522543812,41.2568297050845,0.3702
1237660634382664332,151.114234946269,41.1822881302775,0.675796
1237660634382729724,151.197165242462,41.2289311559784,0.546956
1237660634382729939,151.196034504858,41.2444827298391,0.509226
1237660634382664334,151.125825571335,41.1635619977753,0.651536
1237660634382664389,151.126214011429,41.2585850975067,0.180117
1237660634382729482,151.20132310308,41.2488474555074,-9999
1237660634382729942,151.202979800238,41.2372895749506,0.706975
1237660634382663887,151.138767239482,41.1840239999986,0.390267
1237660634382664113,151.139440719901,41.1721044932579,0.751223
1237660634382664145,151.139635169981,41.2033339434397,0.610771
1237660634382664147,151.138974987133,41.2072538383047,0.659092
1237660634382664494,151.138903944906,41.1934471058649,0.666165
1237660634382729460,151.198725099601,41.2180388779184,0.413259
1237660634382729737,151.198659743775,41.2417834241309,0.371447
1237660634382729747,151.198065846798,41.2568527962794,0.450628
