objid,ra,dec,z
1237655125541127078,172.977693853221,4.92972719146124,0.753278
1237655125541126876,172.978450425272,4.92685918511747,0.69244
1237655125541126890,172.981556602784,4.93957113871222,0.159133
1237655125541126531,172.985037770919,4.92718143387068,0.357897
1237655125541126897,172.989056420117,4.93239106683941,0.376364
1237655125541126556,172.992926231941,4.93428198219656,0.358365
1237655125541127084,172.993058820081,4.93906036271045,-9999
1237655125541126562,172.994830065567,4.92529595795766,0.345525
